Timestamp,Pillar,ESD Focus Track [Aviation],ESD Focus Track [Business Analytics and Operations Research],ESD Focus Track [Financial Services],ESD Focus Track [Supply Chain & Logistics],ESD Focus Track [Urban Infrastructure Systems],ESD Focus Track [No focus track / Customized focus track],ISTD Focus Track [AI],ISTD Focus Track [Data Analytics],ISTD Focus Track [Financial Technology],ISTD Focus Track [Security],ISTD Focus Track [Others],Custom focus tracks,ESD Elective Modules taken or taking  [40.240 Investment Science],ESD Elective Modules taken or taking  [40.242 Derivative Pricing and Risk Management],ESD Elective Modules taken or taking  [40.260 Supply Chain Management],ESD Elective Modules taken or taking  [40.302 Advanced Optim/ 40.305 Advanced Stochastic],ESD Elective Modules taken or taking  [40.316 Game Theory],ESD Elective Modules taken or taking  [40.317 Financial Systems Design],ESD Elective Modules taken or taking  [40.318 Supply Chain Digitalisation and Design],ESD Elective Modules taken or taking  [40.319 Statistical and Machine Learning],ESD Elective Modules taken or taking  [40.320 Airport Systems Planning and Design],ESD Elective Modules taken or taking  [40.321 Airport Systems Modelling and Simulation],ESD Elective Modules taken or taking  [40.323 Equity Valuation],ESD Elective Modules taken or taking  [40.324 Fundamentals of Investing],ESD TAE Modules taken or taking  [01.102 Energy Systems and Management],ESD TAE Modules taken or taking  [01.104 Networked Life],ESD TAE Modules taken or taking  [01.107 Urban Transportation],40.240 Investment Science,40.242 Derivative Pricing and Risk Management,40.260 Supply Chain Management,40.302 Advanced Optim/ 40.305 Advanced Stochastic,40.316 Game Theory,40.317 Financial Systems Design,40.318 Supply Chain Digitalisation and Design,40.319 Statistical and Machine Learning,40.320 Airport Systems Planning and Design,40.321 Airport Systems Modelling and Simulation,40.323 Equity Valuation,40.324 Fundamentals of Investing,ISTD Elective Modules taken or taking  [50.006 User Interface Design and Implementation],ISTD Elective Modules taken or taking  [50.007 Machine Learning],ISTD Elective Modules taken or taking  [50.017 Graphics and Visualisation],ISTD Elective Modules taken or taking  [50.020 Network Security],ISTD Elective Modules taken or taking  [50.021 Artificial Intelligence],ISTD Elective Modules taken or taking  [50.033 Foundations of Game Design and Development],ISTD Elective Modules taken or taking  [ 50.035 Computer Vision],ISTD Elective Modules taken or taking  [50.037 Blockchain Technology],ISTD Elective Modules taken or taking  [50.038 Computational Data Science],ISTD Elective Modules taken or taking  [50.039 Theory and Practice of Deep Learning],ISTD Elective Modules taken or taking  [50.040 Natural Language Processing],ISTD Elective Modules taken or taking  [50.041 Distributed Systems and Computing],ISTD Elective Modules taken or taking  [50.042 Foundations of Cybersecurity],ISTD Elective Modules taken or taking  [50.043 Database Systems / Database and Big Data Systems (for class 2021)],ISTD Elective Modules taken or taking  [50.044 System Security],ISTD Elective Modules taken or taking  [50.045 Information Retrieval],ISTD Elective Modules taken or taking  [50.046 Cloud Computing and Internet of Things],ISTD TAE Modules taken or taking  [01.116 AI for Healthcare (Term 7)],50.006 User Interface Design and Implementation,50.007 Machine Learning,50.017 Graphics and Visualisation,50.020 Network Security,50.021 Artificial Intelligence,50.033 Foundations of Game Design and Development, 50.035 Computer Vision,50.037 Blockchain Technology,50.038 Computational Data Science,50.039 Theory and Practice of Deep Learning,50.040 Natural Language Processing,50.041 Distributed Systems and Computing,50.042 Foundations of Cybersecurity,50.043 Database Systems / Database and Big Data Systems (for class 2021),50.044 System Security,50.045 Information Retrieval,50.046 Cloud Computing and Internet of Things,50.048 Computational Fabrication,01.116 AI for Healthcare (Term 7) (TAE),01.102 Energy Systems and Management (TAE ),01.104 Networked Life (TAE ),01.107 Urban Transportation (TAE ),Other ESD Modules if not listed,Other ESD Modules if not listed.1,Other ISTD Modules if not listed,Other ISTD Modules if not listed.1,What are your academic/career interest?,What are your skills of interest?
2021-06-09 10:08:56.911,ESD,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operation research,R
2021-06-09 10:26:19.181,ISTD,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,"Excel, Investment Metrics",,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,"Gradient Descent, Hidden Markov Model",,,-,,"OpenCV, Tensorflow","Ethereum network, DecentralizedApp programming",,"PyTorch, Jupyter Notebook",,,,"Clojurescript, AWS EC2",,,,,,,,,,,,,Deep learning,Programming
2021-06-09 12:33:15.240,ESD,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,"Gurobi, Python, R, Statistics, Probability","Analysis, Probability",,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,"Python, Probability, Linear Algebra","C++, Algorithms, Linear Algebra",,"Python, Algorithms, PyTorch",,,,"Python, Pandas, Hadoop, Keras, Tensorflow",,,,,,,,,,"OpenCV, Computer Vision, Deep Learning, Python",,,,,,,,Bussiness Metrics,python
2021-06-09 12:35:11.821,ESD,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,Shag,,,,Airport background knowledge,CAST software and AMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsure, now still taking",,Aimsun Software and traffic sims,,,,,Airport opertaions,simluation modeling
2021-06-09 14:05:48.083,ESD,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,Basic Finance concepts,How to Price Futures and Options,,,,"Python, client/server fundamentals",,,,,How to value Equity and evaluate Equity Risks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optimisation Models in an Application Space,,,,,,,Finance,excel
2021-06-14 21:02:52.538,ESD,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,How to optimize strategy,,,Machine Learning,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Artificial intelligence,,,,,,,,,,,,,,,,How networks work ,,,,,,Data Science,Coding
2021-06-14 21:05:36.446,ESD,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,Python,,,,,Tensorflow,,,,,,,,,Python,,,,,Python,,,,,,AI,"Coding, drawing"
2021-06-14 21:06:09.864,ESD,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,"inventory planning, supply chain calculations, demand forecasting, supply chain decision maing",,,,"inventory planning, digitalisation analysis","Python, Keras, PyTorch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nil,,,,,,Supply Chain,"project management, supply chain management"
2021-06-15 02:14:50.691,ISTD,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,python,,,"python , search algorithm",,"keras , tensorflow",,"python, sklearn ",pytorch,,,,"hadoop, spark, sql , mongodb",,pytorch ,,,,,,,,,,,Data Analytics,Data Analytics
2021-06-17 15:10:33.299,ESD,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,Pytorch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.004 Intro to Algo,,,,Data,"Photoshop, coding"
2021-06-17 19:50:07.326,ESD,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,"Optimisation, Scheduling and Skills to simulate long term averages",How best to approach a certain problem by evaluating the payoffs of different strategies and opponents,,,Math behind the machine learning algorithms but more towards knowing what components machine learning is made up of,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Computational Data Science - Machine Learning Algorithms and evaluations of each,,,,,,,,,,,Optimise the energy having to be traded to ensure no wastage but still maintaining reliability in provision of energy,,,Computational Data Science ISTD Mod,,,,"Business Analytics, Data Scientists, Marketing, Software Engineering","Coding, Web Dev, Data Analytics"
